몬스터 물고기 사이즈	유저 물고기 사이즈
가로x세로
1: 1x1			2x1				
2: 2x1			2x1
3: 3x1			3x1
4: 3x2 			3x2
5: 4x3 지느러미1		3x3
6: 4x3 지느러미2		4x3  유저 지느러미는 2개고 몬스터 물고기5렙은 지느러미는 1개임
7: 5x3 지느러미3		5x3
8: 5x4			5x4
9: 6x4			6x4
10: 6x5			6x5
11: 7x5			7x5
12: 8x5			8x5

13: 9x5			9x5
14: 9x6			9x6
15: 10x6			10x6
16: 10x7			10x7
17: 11x7			11x7
18: 12x7			12x7

19: 12x8			12x8
20: 13x8			13x8 
21: 14x8    		14x8
22: 15X8  		15X8 
23: 16x8			16x8 
24: 17x8			17x8 

25: 17x9			17x9
26: 18x9			18x9
27: 19x9			19x9
28: 20x9			20x9
29: 21x9			21x9
30: 21x10			21x10

31: 22x10			22x10
32: 22x11			22x11
33: 23x11			23x11
34: 24x11			24x11
35: 25x11			25x11
36: 26x11			26x11
		         37: 27x12
		      MAX: 메인화면 왕
